Faculty ID,Faculty Name,Department,Email
F001,Faculty 1,Computer Science,faculty1@college.edu
F002,Faculty 2,Mathematics,faculty2@college.edu
F003,Faculty 3,Mathematics,faculty3@college.edu
F004,Faculty 4,Computer Science,faculty4@college.edu
F005,Faculty 5,Mathematics,faculty5@college.edu
F006,Faculty 6,Mathematics,faculty6@college.edu
F007,Faculty 7,Computer Science,faculty7@college.edu
F008,Faculty 8,Chemistry,faculty8@college.edu
F009,Faculty 9,Computer Science,faculty9@college.edu
F010,Faculty 10,Computer Science,faculty10@college.edu
