Student ID,Name,Age,Enrollment Year,Major,GPA,Email
S0001,Student 1,22,2020,Mathematics,2.89,student1@college.edu
S0002,Student 2,25,2021,Computer Science,2.63,student2@college.edu
S0003,Student 3,23,2022,Biology,2.23,student3@college.edu
S0004,Student 4,24,2020,Physics,2.01,student4@college.edu
S0005,Student 5,22,2019,Chemistry,2.06,student5@college.edu
S0006,Student 6,22,2021,Physics,3.57,student6@college.edu
S0007,Student 7,18,2022,Biology,3.21,student7@college.edu
S0008,Student 8,25,2021,Biology,3.44,student8@college.edu
S0009,Student 9,22,2019,Computer Science,2.57,student9@college.edu
S0010,Student 10,21,2020,Mathematics,2.35,student10@college.edu
S0011,Student 11,24,2020,Mathematics,3.06,student11@college.edu
S0012,Student 12,19,2021,Mathematics,2.4,student12@college.edu
S0013,Student 13,25,2022,Physics,3.27,student13@college.edu
S0014,Student 14,25,2021,Mathematics,3.23,student14@college.edu
S0015,Student 15,18,2020,Computer Science,3.97,student15@college.edu
S0016,Student 16,19,2020,Chemistry,3.26,student16@college.edu
S0017,Student 17,21,2019,Biology,2.52,student17@college.edu
S0018,Student 18,20,2019,Physics,3.82,student18@college.edu
S0019,Student 19,20,2021,Chemistry,2.45,student19@college.edu
S0020,Student 20,21,2020,Computer Science,3.28,student20@college.edu
S0021,Student 21,21,2020,Physics,2.87,student21@college.edu
S0022,Student 22,19,2021,Physics,3.76,student22@college.edu
S0023,Student 23,20,2019,Computer Science,2.75,student23@college.edu
S0024,Student 24,18,2020,Mathematics,2.81,student24@college.edu
S0025,Student 25,21,2020,Chemistry,2.87,student25@college.edu
S0026,Student 26,20,2021,Physics,2.99,student26@college.edu
S0027,Student 27,25,2022,Mathematics,3.61,student27@college.edu
S0028,Student 28,23,2020,Computer Science,3.73,student28@college.edu
S0029,Student 29,24,2019,Mathematics,2.93,student29@college.edu
S0030,Student 30,23,2022,Mathematics,2.56,student30@college.edu
S0031,Student 31,18,2022,Computer Science,3.6,student31@college.edu
S0032,Student 32,23,2021,Biology,3.23,student32@college.edu
S0033,Student 33,23,2022,Computer Science,2.21,student33@college.edu
S0034,Student 34,24,2021,Biology,3.19,student34@college.edu
S0035,Student 35,22,2020,Computer Science,3.77,student35@college.edu
S0036,Student 36,23,2020,Physics,2.74,student36@college.edu
S0037,Student 37,24,2021,Chemistry,2.3,student37@college.edu
S0038,Student 38,19,2020,Mathematics,3.53,student38@college.edu
S0039,Student 39,18,2020,Physics,2.33,student39@college.edu
S0040,Student 40,18,2019,Chemistry,2.82,student40@college.edu
S0041,Student 41,25,2019,Mathematics,2.16,student41@college.edu
S0042,Student 42,19,2020,Chemistry,2.48,student42@college.edu
S0043,Student 43,25,2022,Computer Science,2.83,student43@college.edu
S0044,Student 44,20,2021,Mathematics,3.32,student44@college.edu
S0045,Student 45,19,2020,Chemistry,3.37,student45@college.edu
S0046,Student 46,22,2019,Chemistry,2.56,student46@college.edu
S0047,Student 47,23,2022,Mathematics,2.77,student47@college.edu
S0048,Student 48,22,2020,Biology,3.9,student48@college.edu
S0049,Student 49,25,2020,Biology,2.87,student49@college.edu
S0050,Student 50,25,2019,Computer Science,2.51,student50@college.edu
S0051,Student 51,23,2019,Mathematics,3.24,student51@college.edu
S0052,Student 52,22,2022,Chemistry,3.04,student52@college.edu
S0053,Student 53,23,2019,Biology,2.9,student53@college.edu
S0054,Student 54,22,2022,Chemistry,3.59,student54@college.edu
S0055,Student 55,21,2020,Biology,2.32,student55@college.edu
S0056,Student 56,24,2020,Physics,2.37,student56@college.edu
S0057,Student 57,22,2022,Computer Science,3.73,student57@college.edu
S0058,Student 58,21,2021,Mathematics,3.8,student58@college.edu
S0059,Student 59,21,2022,Mathematics,3.63,student59@college.edu
S0060,Student 60,18,2020,Computer Science,2.31,student60@college.edu
S0061,Student 61,23,2022,Biology,3.39,student61@college.edu
S0062,Student 62,24,2019,Physics,3.86,student62@college.edu
